Price;Mileage;Make;Model;Trim;Type;Cylinder;Liter;Doors;Cruise;Sound;Leather;Preco;Quilom
17314,10313;8221;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;1;1;40513,27;5108
17542,03608;9135;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;1;0;41046,61;5676
16218,84786;13196;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;1;0;37950,48;8200
16336,91314;16342;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;0;0;38226,74;10154
16339,17032;19832;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;0;1;38232,02;12323
15709,05282;22236;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;1;0;36757,61;13817
15230,00339;22576;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;1;0;35636,68;14028
15048,04218;22964;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;1;0;35210,91;14269
14862,09387;24021;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;0;1;34775,81;14926
15295,01827;27325;Buick;Century;Sedan 4D;Sedan;6;3,1;4;1;1;1;35788,81;16979
21335,85248;10237;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;0;0;49923,76;6361
20538,08751;15066;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;0;48057,07;9362
20512,09409;16633;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;0;47996,25;10335
19924,15905;19800;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;1;46620,54;12303
19774,24907;23359;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;1;46269,77;14515
19344,16554;23765;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;0;45263,41;14767
19105,13012;24008;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;0;0;44704,09;14918
18543,42705;26034;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;1;43389,76;16177
17808,199;32896;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;0;41669,40;20441
17968,83828;34665;Buick;Lacrosse;CX Sedan 4D;Sedan;6;3,6;4;1;1;1;42045,28;21540
22358,87768;8970;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;1;0;52317,54;5574
23785,92253;10577;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;1;1;55656,68;6572
22926,09037;14363;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;1;1;53644,76;8925
21895,75878;16508;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;0;1;51233,89;10258
21273,06171;18908;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;0;0;49776,84;11749
21460,01395;19467;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;0;1;50214,29;12096
21183,12359;21394;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;0;0;49566,39;13294
20406,0995;22596;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;0;0;47748,23;14041
21058,13958;24469;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;1;1;49273,94;15204
19556,89932;25245;Buick;Lacrosse;CXL Sedan 4D;Sedan;6;3,6;4;1;0;0;45761,19;15687
23447,68656;15755;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;1;0;54865,24;9790
23547,23944;16235;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;1;0;55098,19;10088
23016,00801;18147;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;1;1;53855,16;11276
22230,0275;22102;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;0;1;52016,04;13734
22625,07357;23612;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;0;1;52940,41;14672
21799,1721;24439;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;0;0;51007,88;15186
21341,25721;25212;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;1;1;49936,41;15666
21683,03146;26779;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;1;0;50736,13;16640
20986,01602;27096;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;0;0;49105,18;16837
20902,10379;29649;Buick;Lacrosse;CXS Sedan 4D;Sedan;6;3,8;4;1;1;1;48908,83;18423
20698,07708;2992;Buick;Lesabre;Custom Sedan 4D;Sedan;6;3,8;4;1;0;1;48431,43;1859
20099,25684;10036;Buick;Lesabre;Custom Sedan 4D;Sedan;6;3,8;4;1;1;1;47030,25;6236
18145,12649;18339;Buick;Lesabre;Custom Sedan 4D;Sedan;6;3,8;4;1;1;0;42457,78;11395
17944,85692;19592;Buick;Lesabre;Custom Sedan 4D;Sedan;6;3,8;4;1;0;0;41989,17;12174
19027,86231;21797;Buick;Lesabre;Custom Sedan 4D;Sedan;6;3,8;4;1;0;1;44523,30;13544
18348,89857;23852;Buick;Lesabre;Custom Sedan 4D;Sedan;6;3,8;4;1;1;0;42934,59;14821
