Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather,Preco,Quilom
17314.10,8221,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1,40513.27,13230
17542.04,9135,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,41046.61,14701
16218.85,13196,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,37950.48,21237
16336.91,16342,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0,38226.74,26300
16339.17,19832,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1,38232.02,31916
15709.05,22236,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,36757.61,35785
15230.00,22576,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,35636.68,36332
15048.04,22964,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,35210.91,36957
14862.09,24021,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1,34775.81,38658
15295.02,27325,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1,35788.81,43975
21335.85,10237,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0,49923.76,16475
20538.09,15066,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,48057.07,24246
20512.09,16633,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,47996.25,26768
19924.16,19800,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,46620.54,31865
19774.25,23359,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,46269.77,37593
19344.17,23765,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,45263.41,38246
19105.13,24008,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0,44704.09,38637
18543.43,26034,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,43389.76,41898
17808.20,32896,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,41669.40,52941
17968.84,34665,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,42045.28,55788
22358.88,8970,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,0,52317.54,14436
23785.92,10577,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1,55656.68,17022
22926.09,14363,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1,53644.76,23115
21895.76,16508,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1,51233.89,26567
21273.06,18908,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0,49776.84,30429
21460.01,19467,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1,50214.29,31329
21183.12,21394,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0,49566.39,34430
20406.10,22596,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0,47748.23,36365
21058.14,24469,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1,49273.94,39379
19556.90,25245,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0,45761.19,40628
23447.69,15755,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0,54865.24,25355
23547.24,16235,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0,55098.19,26128
23016.01,18147,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1,53855.16,29205
22230.03,22102,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1,52016.04,35570
22625.07,23612,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1,52940.41,38000
21799.17,24439,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0,51007.88,39331
21341.26,25212,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1,49936.41,40575
21683.03,26779,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0,50736.13,43097
20986.02,27096,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0,49105.18,43607
20902.10,29649,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1,48908.83,47715
20698.08,2992,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1,48431.43,4815
20099.26,10036,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1,47030.25,16151
18145.13,18339,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0,42457.78,29514
17944.86,19592,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,0,41989.17,31530
19027.86,21797,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1,44523.30,35079
18348.90,23852,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0,42934.59,38386
17750.88,25040,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0,41535.29,40298
17772.97,25052,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0,41586.97,40317
17394.02,25464,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0,40700.27,40980
17645.75,27830,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1,41289.28,44788
21908.37,17353,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,0,51263.39,27927
21956.34,17787,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,51375.65,28625
21646.12,19562,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1,50649.75,31482
21575.46,20137,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,50484.41,32407
20952.22,20158,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,49026.09,32441
21562.05,23767,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,1,50453.04,38249
19981.13,24323,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,46753.84,39144
19425.85,27839,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0,45454.54,44802
19191.99,29187,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1,44907.34,46972
19641.74,31324,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1,45959.71,50411
25589.98,2308,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0,59878.00,3714
25098.63,10014,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0,58728.28,16116
23420.71,18910,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1,54802.11,30433
22661.05,20105,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,0,53024.59,32356
23493.08,20453,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0,54971.46,32916
22435.20,22287,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1,52496.13,35867
21878.12,23237,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0,51192.61,37396
23077.57,23798,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1,53999.20,38299
21698.01,25489,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1,50771.18,41020
21831.82,25564,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1,51084.28,41141
26831.19,4695,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0,62782.31,7556
26060.34,9795,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0,60978.58,15763
26781.81,12052,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0,62666.77,19396
26302.07,13050,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0,61544.22,21002
26190.27,17335,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1,61282.62,27898
25508.21,17480,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,0,59686.66,28131
23348.02,24027,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1,54632.02,38668
23406.69,25387,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1,54769.31,40856
23159.54,25869,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,0,54191.02,41632
21536.74,37128,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,1,1,50393.82,59752
51154.05,2202,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1,119695.36,3544
49248.16,6685,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1,115235.77,10758
46747.67,15343,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1,109384.88,24692
44130.62,21341,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1,103261.23,34345
44084.91,21367,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1,103154.29,34387
43892.47,23371,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1,102703.99,37612
44300.64,23751,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1,103659.07,38223
42677.60,24052,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1,99861.32,38708
43374.05,25199,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1,101490.95,40554
40619.07,30082,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1,95044.57,48412
33417.97,6598,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1,78194.70,10618
30957.08,10625,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1,72436.47,17099
31431.13,11013,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1,73545.70,17724
30781.52,14937,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1,72025.67,24039
30646.44,17094,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1,71709.60,27510
